ts,open,high,low,close,volume,provenance,sha256
1785859200,0.15,0.15,0.15,0.15,44.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1786410000,0.32,0.32,0.32,0.32,20.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1786449600,0.29,0.29,0.29,0.29,10.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1786546800,0.33,0.33,0.33,0.33,30.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1786741200,0.21,0.21,0.21,0.21,4.51,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1786780800,0.21,0.21,0.21,0.21,13.49,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1786852800,0.17,0.18,0.17,0.18,49.94,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1786932000,0.22,0.22,0.22,0.22,38.79,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787014800,0.29,0.29,0.29,0.29,6.57,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787022000,0.24,0.24,0.24,0.24,9.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787086800,0.1,0.1,0.1,0.1,12.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787104800,0.09,0.1,0.09,0.1,42.83,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787169600,0.29,0.29,0.29,0.29,22.99,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787202000,0.33,0.33,0.33,0.33,8.68,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787223600,0.32,0.32,0.32,0.32,14.91,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787234400,0.31,0.31,0.31,0.31,60.54,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787256000,0.38,0.38,0.38,0.38,37.9,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787259600,0.43,0.43,0.43,0.43,50.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787277600,0.45,0.45,0.45,0.45,10.69,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787281200,0.46,0.46,0.42,0.42,25.87,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787284800,0.5,0.5,0.49,0.49,29.98,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787302800,0.51,0.51,0.51,0.51,0.28,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787320800,0.55,0.55,0.55,0.55,35.25,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787324400,0.54,0.54,0.54,0.54,5.38,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787335200,0.56,0.57,0.56,0.57,512.61,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787342400,0.54,0.54,0.54,0.54,6.26,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787346000,0.45,0.45,0.45,0.45,5.38,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787349600,0.52,0.52,0.52,0.52,11.16,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787353200,0.46,0.46,0.46,0.46,9.3,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787364000,0.51,0.51,0.5,0.51,171.1,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787367600,0.51,0.51,0.47,0.48,21.03,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787374800,0.48,0.48,0.46,0.46,35.25,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787392800,0.51,0.51,0.51,0.51,5.68,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787400000,0.45,0.49,0.45,0.45,0.31,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787414400,0.49,0.49,0.49,0.49,1.95,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787436000,0.5,0.5,0.5,0.5,9.66,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787490000,0.48,0.48,0.48,0.48,10.04,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787511600,0.49,0.51,0.49,0.51,192.45,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787518800,0.49,0.51,0.49,0.51,24.83,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787526000,0.52,0.52,0.52,0.52,1.04,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787529600,0.51,0.51,0.51,0.51,37.72,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787540400,0.46,0.46,0.46,0.46,1.93,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787544000,0.5,0.5,0.5,0.5,18.18,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787547600,0.48,0.48,0.48,0.48,7.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787576400,0.47,0.49,0.47,0.49,19.67,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787580000,0.51,0.51,0.51,0.51,10.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787587200,0.44,0.44,0.44,0.44,5.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787590800,0.46,0.46,0.46,0.46,100.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787594400,0.43,0.43,0.43,0.43,6.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787598000,0.45,0.45,0.45,0.45,4.38,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787605200,0.48,0.48,0.44,0.44,43.4,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787616000,0.51,0.58,0.51,0.58,526.88,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787619600,0.58,0.58,0.5,0.5,31.69,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787623200,0.51,0.51,0.51,0.51,0.98,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787626800,0.5,0.5,0.35,0.35,410.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787630400,0.38,0.38,0.32,0.32,32.35,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787677200,0.49,0.49,0.49,0.49,5.12,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787688000,0.49,0.49,0.49,0.49,10.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787691600,0.45,0.45,0.45,0.45,25.12,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787695200,0.45,0.45,0.35,0.35,85.58,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787724000,0.43,0.43,0.43,0.43,100.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787727600,0.42,0.42,0.42,0.42,18.21,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787745600,0.42,0.42,0.42,0.42,11.44,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787785200,0.43,0.47,0.42,0.47,637.78,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787788800,0.48,0.48,0.48,0.48,1.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787792400,0.45,0.45,0.45,0.45,106.99,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787796000,0.44,0.6,0.44,0.6,17.33,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787803200,0.55,0.59,0.55,0.59,28.18,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787828400,0.42,0.42,0.38,0.38,14.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787846400,0.44,0.44,0.44,0.44,1.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787868000,0.56,0.57,0.56,0.57,8.53,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787889600,0.5,0.52,0.5,0.51,56.92,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787893200,0.48,0.48,0.39,0.39,192.45,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787896800,0.39,0.39,0.39,0.39,13.49,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787904000,0.69,0.69,0.69,0.69,1.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787911200,0.69,0.69,0.6,0.62,612.61,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787922000,0.63,0.63,0.63,0.63,100.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787925600,0.71,0.71,0.71,0.71,100.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787929200,0.53,0.57,0.53,0.57,200.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787932800,0.62,0.62,0.53,0.53,110.04,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787936400,0.33,0.33,0.33,0.33,0.01,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787940000,0.18,0.18,0.18,0.18,17.22,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787943600,0.16,0.16,0.12,0.12,122.74,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787947200,0.08,0.16,0.06,0.16,543.81,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1787983200,0.15,0.15,0.15,0.15,23.47,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1788030000,0.13,0.13,0.13,0.13,72.5,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1788066000,0.12,0.12,0.12,0.12,5.0,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1788073200,0.07,0.07,0.06,0.06,15.16,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1788084000,0.14,0.15,0.14,0.15,63.2,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1788181200,0.01,0.01,0.01,0.01,0.15,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
1788195600,0.06,0.06,0.06,0.06,312.75,candles-02,2cd362aeffc9338d0fa569335c822a9e2bfc2ef3dcea7f062ee0bcdba169f62b
