ts,open,high,low,close,volume,provenance,sha256
1788368400,0.44,0.44,0.44,0.44,0.1,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788386400,0.4,0.4,0.38,0.38,6.27,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788400800,0.49,0.49,0.49,0.49,1.97,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788480000,0.55,0.55,0.55,0.55,1.76,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788483600,0.45,0.45,0.45,0.45,1.76,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788508800,0.55,0.55,0.55,0.55,5.27,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788555600,0.51,0.51,0.51,0.51,39.6,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788559200,0.51,0.51,0.51,0.51,9.47,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788584400,0.5,0.5,0.48,0.48,19.71,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788588000,0.48,0.48,0.48,0.48,4.02,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788598800,0.48,0.48,0.48,0.48,50.0,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788606000,0.48,0.48,0.48,0.48,10.05,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788616800,0.48,0.48,0.48,0.48,20.1,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788620400,0.49,0.49,0.49,0.49,41.83,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788624000,0.5,0.5,0.46,0.46,39.03,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788627600,0.51,0.51,0.51,0.51,9.47,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788638400,0.5,0.5,0.5,0.5,96.61,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788645600,0.53,0.53,0.53,0.53,6.82,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788649200,0.47,0.53,0.47,0.51,279.26,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
1788652800,0.51,0.51,0.47,0.47,18.94,candles-05,f4fc4a1a2f5f2c387c004f9b1e36cc8a03c21c739ed3090ca904a89b3d120338
