ts,open,high,low,close,volume,provenance,sha256
1785679200,0.03,0.03,0.03,0.03,60.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1785895200,0.09,0.09,0.09,0.09,50.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1785963600,0.09,0.09,0.09,0.09,17.81,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786118400,0.17,0.17,0.17,0.17,100.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786388400,0.12,0.12,0.12,0.12,1.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786392000,0.14,0.14,0.14,0.14,1.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786395600,0.14,0.14,0.14,0.14,1.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786402800,0.22,0.23,0.22,0.23,313.76,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786762800,0.08,0.08,0.08,0.08,20.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786834800,0.11,0.11,0.11,0.11,8.55,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786978800,0.18,0.38,0.18,0.38,825.7,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1786996800,0.18,0.18,0.18,0.18,8.55,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1787011200,0.17,0.8,0.17,0.8,863.5,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1787220000,0.2,0.2,0.2,0.2,28.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1787256000,0.28,0.28,0.28,0.28,34.0,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1787299200,0.34,0.34,0.34,0.34,25.3,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
1787346000,0.31,0.32,0.31,0.32,142.85,candles-04,129d6add7be5d6c810b8d688238246611cba2b1aa1439daa98c22a49981355fb
