ts,open,high,low,close,volume,provenance,sha256
1785852000,0.11,0.11,0.11,0.11,100.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1785974400,0.14,0.14,0.14,0.14,1.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786096800,0.22,0.22,0.22,0.22,10.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786118400,0.17,0.17,0.17,0.17,100.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786172400,0.15,0.15,0.15,0.15,10.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786176000,0.18,0.18,0.18,0.18,47.28,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786381200,0.16,0.16,0.16,0.16,1.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786384800,0.16,0.16,0.16,0.16,1.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786827600,0.17,0.17,0.17,0.17,50.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786867200,0.16,0.16,0.16,0.16,2.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786914000,0.15,0.15,0.15,0.15,56.63,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1786996800,0.22,0.22,0.22,0.22,4.31,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787173200,0.26,0.43,0.26,0.43,807.94,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787220000,0.28,0.28,0.28,0.28,28.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787270400,0.37,0.37,0.37,0.37,5.15,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787288400,0.42,0.42,0.42,0.42,228.8,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787302800,0.39,0.39,0.39,0.39,0.31,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787313600,0.48,0.48,0.48,0.48,34.89,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787342400,0.42,0.42,0.42,0.42,6.86,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787346000,0.33,0.33,0.33,0.33,6.86,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787349600,0.41,0.42,0.41,0.42,116.7,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787360400,0.41,0.41,0.41,0.41,11.71,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787367600,0.36,0.36,0.36,0.36,1.52,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787382000,0.4,0.4,0.4,0.4,0.15,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787407200,0.4,0.4,0.4,0.4,4.84,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787443200,0.38,0.48,0.38,0.48,731.98,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787493600,0.4,0.4,0.4,0.4,500.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787522400,0.41,0.41,0.41,0.41,58.55,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787536800,0.41,0.41,0.41,0.41,1.52,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787605200,0.38,0.38,0.38,0.38,2.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787616000,0.38,0.38,0.38,0.38,7.85,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787626800,0.33,0.33,0.3,0.3,9.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787688000,0.34,0.35,0.34,0.35,65.78,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787691600,0.37,0.37,0.37,0.37,258.85,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787752800,0.22,0.22,0.22,0.22,50.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787774400,0.25,0.25,0.25,0.25,0.16,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787785200,0.3,0.87,0.3,0.45,1380.02,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787803200,0.46,0.46,0.39,0.39,311.84,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787810400,0.31,0.31,0.31,0.31,95.03,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787839200,0.31,0.31,0.31,0.31,100.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787860800,0.37,0.37,0.37,0.37,12.19,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787868000,0.35,0.35,0.31,0.31,14.27,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787871600,0.36,0.36,0.36,0.36,2.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787886000,0.32,0.32,0.32,0.32,1.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787900400,0.32,0.37,0.32,0.37,505.19,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787911200,0.51,0.51,0.5,0.5,58.55,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787918400,0.47,0.47,0.47,0.47,4.31,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787925600,0.6,0.6,0.6,0.6,12.0,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
1787929200,0.45,0.45,0.24,0.3,134.62,candles-03,150d6422e7c36f530e2e9ab63ae8193d82c7b2324adb5f340acca84e3a60e189
