ts,open,high,low,close,volume,provenance,sha256
1787364000,0.6,0.6,0.56,0.6,74.56,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787367600,0.59,0.59,0.58,0.58,4.83,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787374800,0.62,0.62,0.57,0.62,65.05,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787378400,0.54,0.54,0.54,0.54,5.35,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787392800,0.61,0.62,0.61,0.62,6.35,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787403600,0.55,0.55,0.55,0.55,1.79,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787421600,0.6,0.6,0.6,0.6,81.06,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787428800,0.57,0.57,0.57,0.57,84.2,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787439600,0.58,0.58,0.58,0.58,16.74,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787443200,0.59,0.66,0.59,0.66,813.51,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787457600,0.59,0.59,0.59,0.59,8.18,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787475600,0.54,0.54,0.53,0.53,8.23,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787497200,0.6,0.6,0.6,0.6,3.01,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787515200,0.61,0.61,0.61,0.61,3.59,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787526000,0.6,0.6,0.57,0.57,32.42,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787529600,0.55,0.55,0.55,0.55,1.64,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787533200,0.55,0.58,0.53,0.58,11.96,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787536800,0.59,0.59,0.59,0.59,3.29,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787547600,0.58,0.58,0.58,0.58,1.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787551200,0.58,0.58,0.58,0.58,7.92,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787580000,0.61,0.61,0.61,0.61,10.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787587200,0.56,0.56,0.56,0.56,5.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787608800,0.61,0.61,0.55,0.55,15.94,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787616000,0.6,0.68,0.6,0.68,315.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787626800,0.69,0.69,0.6,0.6,2256.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787648400,0.52,0.52,0.52,0.52,10.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787652000,0.51,0.51,0.51,0.51,22.74,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787655600,0.49,0.49,0.49,0.49,22.74,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787659200,0.5,0.5,0.5,0.5,0.21,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787677200,0.57,0.57,0.57,0.57,8.36,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787691600,0.53,0.53,0.53,0.53,5.04,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787698800,0.54,0.54,0.54,0.54,3.33,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787745600,0.46,0.46,0.46,0.46,13.44,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787774400,0.52,0.52,0.52,0.52,18.6,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787778000,0.43,0.43,0.43,0.43,16.93,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787785200,0.53,0.57,0.53,0.57,10.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787792400,0.61,0.61,0.61,0.61,79.78,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787796000,0.67,0.75,0.66,0.75,225.09,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787803200,0.71,0.71,0.71,0.71,6.9,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787814000,0.63,0.63,0.63,0.63,46.41,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787824800,0.56,0.56,0.56,0.56,136.24,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787846400,0.62,0.62,0.62,0.62,6.73,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787850000,0.64,0.64,0.63,0.63,5.04,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787853600,0.67,0.67,0.66,0.66,8.44,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787857200,0.67,0.68,0.67,0.68,2.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787878800,0.73,0.73,0.73,0.73,100.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787882400,0.75,0.75,0.68,0.68,2.28,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787893200,0.66,0.66,0.66,0.66,5.34,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787911200,0.75,0.86,0.75,0.86,510.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787918400,0.86,0.86,0.86,0.86,22.08,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787929200,0.86,0.86,0.86,0.86,100.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787936400,0.55,0.55,0.33,0.33,275.38,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787940000,0.33,0.33,0.33,0.33,10.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787947200,0.32,0.32,0.16,0.16,116.02,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787958000,0.24,0.24,0.24,0.24,8.52,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787961600,0.25,0.25,0.25,0.25,5.66,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787968800,0.26,0.26,0.26,0.26,18.28,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788008400,0.26,0.26,0.26,0.26,36.56,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788012000,0.24,0.24,0.24,0.24,36.56,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788015600,0.27,0.27,0.27,0.27,35.23,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788019200,0.26,0.26,0.24,0.24,81.31,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788022800,0.26,0.26,0.26,0.26,18.28,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788037200,0.24,0.24,0.17,0.17,6.01,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788044400,0.26,0.4,0.17,0.17,129.51,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788048000,0.27,0.27,0.27,0.27,17.59,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788055200,0.28,0.28,0.28,0.28,170.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788062400,0.28,0.28,0.28,0.28,68.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788116400,0.33,0.33,0.33,0.33,14.47,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788120000,0.23,0.33,0.23,0.33,20.5,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788123600,0.23,0.23,0.23,0.23,10.76,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788134400,0.17,0.17,0.17,0.17,13.44,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788152400,0.08,0.08,0.08,0.08,58.71,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788156000,0.1,0.1,0.1,0.1,47.03,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788177600,0.14,0.38,0.14,0.19,148.84,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788184800,0.07,0.07,0.07,0.07,222.11,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788192000,0.07,0.07,0.06,0.06,0.95,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788199200,0.03,0.03,0.03,0.03,17.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788202800,0.03,0.03,0.01,0.01,9.01,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1788206400,0.06,0.06,0.06,0.06,156.37,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
